,mode,index_col,avC,avP,sdC,sdP,avR,maxC,maxP,stdCR,stdCP,AvRR
0,DailyWash,0,2.225,474.5333333,3.011970085,706.9752341,641.3407627,7.15,1632,3.011970085,706.9752341,641.3407627
1,DailyWash,1,2.1702,462,2.974442489,700.1503046,679.2401214,7.18,1656,2.993026281,707.6248337,736.0891593
2,DailyWash,2,3.27775,723.4,3.327151431,786.0469693,503.9495901,7.2,1659,3.093102988,735.3334657,211.7987046
3,DailyWash,3,3.5149,778.69,3.339523796,790.0075143,443.9119549,7.19,1648,3.301263355,786.4833304,203.7614141
4,DailyWash,4,3.012416667,658.825,3.24871998,769.2322885,468.6400629,0.61,76,0.138488077,18.96395473,592.280603
5,DailyWash,5,2.5042,538.2866667,3.077964391,728.8168157,507.8998284,0.74,86,0.153998059,20.96422788,664.9388904
6,DailyRinse,6,2.150777778,456.5666667,2.918489212,689.7712284,554.6845624,0.58,73,0.146722429,18.69627168,788.6082323
7,DailyRinse,7,1.969952381,409.7904762,2.745166173,649.4591595,538.0946786,1.77,272,0.56216791,89.69708923,438.5553762
8,DailyRinse,8,1.764583333,363.3208333,2.624962688,619.7691847,604.8495236,0.65,88,0.180538467,26.09991853,1072.133438
9,DailyRinse,9,1.660851852,336.7,2.499538622,589.8622884,603.3559505,1.89,292,0.603863138,94.91554625,591.4073659
10,DailySpin,10,1.532566667,307.77,2.402525652,566.2511796,630.8893603,0.56,78,0.166410378,23.87842772,878.6900486
11,DailySpin,11,1.443393939,287.1,2.311671062,544.1834118,651.5479168,1.48,227,0.455245923,71.24682691,858.1334821
12,DailySpin,12,1.477027027,285.6054054,2.208730478,516.4848995,629.6241568,2.74,433,0.994757927,159.9501505,448.7531364
0,DailyWash,0,2.311666667,494.4666667,3.065650725,710.2825923,751.1085347,7.11,1627,3.065650725,710.2825923,751.1085347
1,DailyWash,1,2.602,566.1,3.180068668,743.5242952,666.4420078,7.14,1642,3.376846668,797.1396546,539.4422175
2,DailyWash,2,3.525875,784.4,3.355660509,788.3258434,506.7019892,7.13,1637,3.108615041,734.6727483,240.4686249
3,DailyWash,3,3.4315,762.28,3.338945389,784.9929818,488.7844298,7.11,1636,3.329045066,785.2023943,417.1141922
4,DailyWash,4,2.928,643.0583333,3.248920079,764.4301694,523.7644249,0.6,65,0.123094957,15.55457286,698.6644004
5,DailyWash,5,2.4192,523.26,3.078089384,724.2457537,562.0822345,0.47,57,0.100296113,14.62858169,715.353473
6,DailyRinse,6,2.093444444,446.45,2.903540763,683.0358397,582.4748968,1.23,185,0.252077346,39.49735914,684.4382081
7,DailyRinse,7,1.910047619,399.5904762,2.735591483,643.6915841,592.7977936,1.92,297,0.65904049,105.0122106,654.7351745
8,DailyRinse,8,1.710625,354.8666667,2.613277016,613.6040446,660.633734,0.99,147,0.213908349,31.44935721,1135.485317
